wallet,tx_count,total_volume,avg_tx_value,active_days,protocols_used,chain
0xffff28414936e4cc4b6f129b5418621dc182d82f,5128,1.21E-13,2.40E-17,90,2,polygon
0xf12e28374bf2eb4d359ae4a2d67f8dc34e0dd6f7,652,0,0,90,8,polygon
0x0b9a31228444bf8bbcc60cfa9323e746ddc0e15c,410,363.000018,0.885365898,89,18,polygon
0xa75dee364f7b524fb8a0ff36712f1b2a88e51fca,82,8.20E-17,1.00E-18,82,1,polygon
0x1ea8c3b93fe74c944cdf25897cc0ac43f15e064e,1691,133.50008,0.078947416,90,24,polygon
0x8cf7f2f46cfe648b0173123bf6a9e307d388517d,865,167.00003,0.193063619,88,22,polygon
0x65bc0eb2a9e01a0a0f210b0b8d7b1f52bc3909db,190,15,0.078947368,77,13,polygon
0x690447eebac415208196242ad43f96e77c407563,184,10,0.054347826,88,14,polygon
0x970bfd91900a4530a5d6551746240e1691114068,1046,244.30003,0.233556434,90,51,polygon
0x62779d7a9be56a7046e56c11637f03ee7fdd2f07,72,32824.98993,455.9026379,63,22,polygon
0xaa251aaaab9cae223d6e92b52690cfdb84817888,942,250.00002,0.265392803,89,9,polygon
0xabb8e466a88bd87b5e1ff85991e37d85391662b3,41,0,0,87,3,polygon
0x6e732ae10e74cc1154555fa6266505890917078e,100,27.30583742,0.273058374,60,16,polygon
0x1169938463c26ed2567a0354532c29ee46e008b1,668,55,0.082335329,90,12,polygon
0x05c4043ef2fab1b675144e517cdba6c0dbb72fbd,277,26.75530071,0.096589533,64,18,polygon
0xce96cec15ac0128f1965c6f0dd4cc6520158084d,181,1.936128213,0.010696841,45,2,polygon
0x6d9e18e769c8c4460679b76ba833267bc89f132b,543,18.36100479,0.033814005,38,2,polygon
0x395d8947043bfacb4e9266a4ef04392715fa50cd,70,28.5000102,0.407143003,52,21,polygon
0xc8c9236b0dd11b9eab0ab68cd5be44f3e585f640,954,45.792,0.048,90,601,polygon
0x4d4cefa3114039fe153c952fbde488be4340bd10,204,2.03297777,0.009965577,49,3,polygon
0x23e14d6681c4a58f8624d6832722fb0f27739c34,289,77.00004,0.266436125,88,16,polygon
0xbd495bdf69252d1d955b4ff6e9df3c208b389e11,6,3.00E-18,1.00E-18,2,2,polygon
0x2116fbdeaaa9af8287f7fbbec3c4d9d241f4fb96,68,11.60002,0.170588529,65,11,polygon
0x68bc5124056e1c15b3599a0ab1c45e9b0ac9b301,592,26.0000001,0.043918919,88,18,polygon
0xea57c2d3b2636e54fe2bc8ebb2ce30069b78aa69,494,5.678112815,0.011494155,90,2,polygon
0xb81ea468c7067538430c3d5c59caad392662dd39,59,21,0.355932203,56,9,polygon
0xbf6ef60466ab72849be6c687ff141f2ccf7f9e27,276,35.0000001,0.126811595,90,18,polygon
0xfc1c47e00076064dbb4f33c9a250ad993ab0be8e,1594,0,0,90,1,polygon
0x4c0fe466dfab680056671d26f74cc2d1ac91889f,8,0,0,70,1,polygon
0xb4d8e1597ebe5dc5eff2b0397c5b05e478107c0e,1580,0,0,90,1,polygon
0x394a5407c81e5a56b267bb1b3103d3709fc87608,293,34.000018,0.116041017,85,15,polygon
0xed9de9d01b0cf7055342052b8c6edfe88ec2dc0e,850,21.0000151,0.0247059,90,15,polygon
0x0bdbf634381b383996d277aca80a09a08b0b76f3,27,0,0,55,8,polygon
0x1d6807c20da088ad73a2bdbc372901a10517955f,215,73.00001,0.33953493,87,14,polygon
0x5047fa6666115848182c419c0a9ac72817ce1354,152,85.20006,0.560526711,88,19,polygon
0x25ff0bf75c4a289d489c41f3551cf0160b338b8b,12,2.455137713,0.204594809,11,5,polygon
0x4d6bf3ac03b6aaa15700c5b718f040256ddd20b2,6,3.00E-18,1.00E-18,2,2,polygon
0xc877e52ad77108446bf5c1da358494a244b267f2,15,25.76455827,1.717637218,87,4,polygon
0xff1e78ce99f036cd4f97f245612bf51eb0570c69,704,102.00003,0.144886406,90,29,polygon
0x050d164ec344c57b7e6f487be16a3a2e7c19273d,1695,3835.499366,2.262831484,90,94,polygon
0x8abe586e96745d4aca358bae11e71f5a59434f47,116,0,0,90,1,polygon
0xc850303f7c84b1c6e710a350c6a4721434b6595f,38,0,0,79,10,polygon
0xbb9f2785e7d01d03ad7aa3de2b6d51fcecfa5669,370,0,0,90,10,polygon
0x3b67cefb5e507688f94e03d1213a9bd2c45fb3c8,77,2.000010004,0.025974156,84,11,polygon
0xa2e33f2c0aa153fe16c91311d4e4679807cf4e84,7,0,0,58,1,polygon
