wallet,tx_count,total_volume,avg_tx_value,active_days,protocols_used,chain
0xf5675b4b020c9e055ce64d745031329e23e01490,845,4.10E-08,4.85E-11,90,31,ethereum
0xee820192d9be0547a7bc55177757e8b28b95b682,346,3.49949753,0.010114155,86,55,ethereum
0x899760c2296ce7ee921d7d4b265aec859da95ff5,10,0.103310459,0.010331046,5,7,ethereum
0x39069ae1d1e84ad1ac5e44952ded2cb5e0fa2a47,47,1.061617856,0.022587614,16,15,ethereum
0x2dcada0f1094a42f166395c2b173824bc1ffb209,26,0.240177927,0.009237613,13,10,ethereum
0x17eb8aa6a95587f6a3daed6142d612d3cc03b985,9,0.00075,8.33E-05,31,7,ethereum
0x8b6a24e8b84e2526bd5a5c8637854c432dc725eb,12,0.0022,0.000183333,50,8,ethereum
0xbda6d9d1b0a593b30fd6eaec9b9e7d1008c87812,31,3.922364498,0.126527887,14,15,ethereum
0x1f675c3d3a56ac32148f8589eb99c433662f66e9,11,2.84E-05,2.58E-06,26,4,ethereum
0x302b78987d6bbea6362fd67e761807fe9313dace,6,0.380256059,0.06337601,37,4,ethereum
0x1208ce9f6c8346af03d9622be6a5b4478830abb6,155,129.1322928,0.833111566,85,31,ethereum
0x0a11822d67b6699b15cb24c6228ca3edd8b3f2a4,8,0.045,0.005625,38,5,ethereum
0xc39d0a70ddeb39d249df14d2d07007dfcdf0bfa3,70,0.006000027,8.57E-05,88,30,ethereum
0xc92c5ca417bfa6adfac65c45b51b418c44b53e21,17,0.000449008,2.64E-05,28,12,ethereum
0x921f6a4d7ae585bacb0b0279abb2b654852416c1,19,0.510892026,0.026889054,5,8,ethereum
0x635a1345a24793dfe384aaa57327cd0fdb5215c5,14,0.724923237,0.051780231,3,7,ethereum
0xa7022debcd9d101a7bae82dc2e3468178d1713ab,44,0.0001,2.27E-06,79,21,ethereum
0x6e3c4681eafa0dd29262065e4a51127da6656a8f,19,0.00041768,2.20E-05,81,3,ethereum
0x00ada390100de242c0993a73ed1a1a581f8f05ea,837,2.720453214,0.003250243,87,384,ethereum
0x2a1ebdda619aae983cc2e4056471ea67a17b1445,7,0.000335083,4.79E-05,11,2,ethereum
0x6ed6653be3f224e1a4859812fdaf959e91e97df8,7,6.09E-05,8.70E-06,17,2,ethereum
0xfd7dc8e5e533e2416040715f5a28ed8fe63a3780,149,0.000511678,3.43E-06,12,78,ethereum
0x8c7c3aed5dc8f41729a73738efeb805645200744,62,1.30558917,0.02105789,10,15,ethereum
0x2d31dcdfdb547b54629c34ac23e7eb3f3abeec3a,6,0.00801569,0.001335948,6,5,ethereum
0xa3993107ba2b25a9766a084c2331e05fe761131f,27,0.429870968,0.015921147,9,10,ethereum
0x821c2b81a1c603fc9fef545b43ff8b6f1010675f,10,0.00018008,1.80E-05,86,6,ethereum
0x778f9bdea7c471a35dbed7b0f576693d41acf29b,18,0,0,76,1,ethereum
0x44833ac9b5521a9f93e54a5ec0ae8edd306b01ec,87,12.11941686,0.139303642,36,25,ethereum
